univ,name,category,gates,price_level,url
,,,,,
고려대학교 서울캠퍼스,대성집 대성본점,닭요리,정문,2,http://place.map.kakao.com/11288408
고려대학교 서울캠퍼스,홍도야빈대떡,한식,정문,2,http://place.map.kakao.com/16472986
고려대학교 서울캠퍼스,소문난 보배곱창,"곱창,막창",정문,2,http://place.map.kakao.com/16586999
고려대학교 서울캠퍼스,형제집,한식,정문,1,http://place.map.kakao.com/16529587
고려대학교 서울캠퍼스,소문난고향순대국전문점,순대,정문,1,http://place.map.kakao.com/13290885
고려대학교 서울캠퍼스,광주식당감자탕,감자탕,정문,1,http://place.map.kakao.com/13288989
고려대학교 서울캠퍼스,치즈밥있슈 고대점,퓨전요리,정문,1,http://place.map.kakao.com/25071307
고려대학교 서울캠퍼스,다손김밥,분식,정문,1,http://place.map.kakao.com/16904989
고려대학교 서울캠퍼스,연어사랑,"해물,생선",정문,2,http://place.map.kakao.com/27232932
고려대학교 서울캠퍼스,고대멸치국수,국수,정문,1,http://place.map.kakao.com/12007185
고려대학교 서울캠퍼스,유정식당,"육류,고기",법학관 입구,2,http://place.map.kakao.com/13321054
고려대학교 서울캠퍼스,매스플레이트 안암본점,이탈리안,정경대학 입구,2,http://place.map.kakao.com/24073778
고려대학교 서울캠퍼스,일월의제면소,"돈까스,우동",정경대학 입구,1,http://place.map.kakao.com/2073306137
고려대학교 서울캠퍼스,BIYA부대찌개 본점,"찌개,전골",정경대학 입구,1,http://place.map.kakao.com/15546985
고려대학교 서울캠퍼스,프로마치,양식,정경대학 입구,1,http://place.map.kakao.com/26394949
고려대학교 서울캠퍼스,언니네반점,중국요리,정경대학 입구,1,http://place.map.kakao.com/2134375760
고려대학교 서울캠퍼스,무르무르드구스토,이탈리안,정경대학 입구,3,http://place.map.kakao.com/26869744
고려대학교 서울캠퍼스,모심 한정식,한정식,정경대학 입구,1,http://place.map.kakao.com/26807325
고려대학교 서울캠퍼스,등촌샤브칼국수 안암점,등촌샤브칼국수,정경대학 입구,2,http://place.map.kakao.com/8936938
고려대학교 서울캠퍼스,히포크라테스스프,양식,정경대학 입구,2,http://place.map.kakao.com/1507734638
고려대학교 서울캠퍼스,쿠이도라쿠,일본식라면,정경대학 입구,1,http://place.map.kakao.com/16621049
고려대학교 서울캠퍼스,한사우순두부,두부전문점,자연계캠퍼스 입구,1,http://place.map.kakao.com/26610420
고려대학교 서울캠퍼스,이세돈가스 고려대점,"돈까스,우동",자연계캠퍼스 입구,1,http://place.map.kakao.com/395796193
고려대학교 서울캠퍼스,북경양꼬치,양꼬치,자연계캠퍼스 입구,2,http://place.map.kakao.com/13693145
고려대학교 서울캠퍼스,금쪽삼겹 고대본점,삼겹살,자연계캠퍼스 입구,2,http://place.map.kakao.com/187469354
고려대학교 서울캠퍼스,먹거리집,국밥,자연계캠퍼스 입구,1,http://place.map.kakao.com/1216203183
고려대학교 서울캠퍼스,효이당,이탈리안,자연계캠퍼스 입구,1,http://place.map.kakao.com/1030080486
고려대학교 서울캠퍼스,내가찜한닭 고려대점,닭요리,자연계캠퍼스 입구,2,http://place.map.kakao.com/1601611304
고려대학교 서울캠퍼스,달링스테이크 고려대가족점,"스테이크,립",자연계캠퍼스 입구,1,http://place.map.kakao.com/125113828
고려대학교 서울캠퍼스,모이리타,이탈리안,자연계캠퍼스 입구,2,http://place.map.kakao.com/12143134
고려대학교 서울캠퍼스,스시미소,"초밥,롤","정운오IT교양관 후문,자연계캠퍼스 후문",2,http://place.map.kakao.com/806303295
고려대학교 서울캠퍼스,안암고깃집공간,"육류,고기","정운오IT교양관 후문,자연계캠퍼스 후문",2,http://place.map.kakao.com/1693550781
고려대학교 서울캠퍼스,퍽앤어니언,햄버거,"정운오IT교양관 후문,자연계캠퍼스 후문",1,http://place.map.kakao.com/1884148778
고려대학교 서울캠퍼스,국수먹는꼴뚜기,국수,"정운오IT교양관 후문,자연계캠퍼스 후문",1,http://place.map.kakao.com/14615442
고려대학교 서울캠퍼스,어흥식당,"스테이크,립","정운오IT교양관 후문,자연계캠퍼스 후문",1,http://place.map.kakao.com/1799420957
,,,,,
고려대학교 서울캠퍼스,연한담,한식,정문,2,http://place.map.kakao.com/77468335
고려대학교 서울캠퍼스,고대왕족 고대점,"족발,보쌈",정문,2,http://place.map.kakao.com/1373294857
고려대학교 서울캠퍼스,국수사랑,국수,정문,1,http://place.map.kakao.com/438137183
고려대학교 서울캠퍼스,동대문엽기떡볶이 고려대점,동대문엽기떡볶이,정문,1,http://place.map.kakao.com/15637404
고려대학교 서울캠퍼스,진미식당,한식,정문,1,http://place.map.kakao.com/15189747
고려대학교 서울캠퍼스,알래스카에서온연어가 맛있는집,"해물,생선",정문,2,http://place.map.kakao.com/1460997103
고려대학교 서울캠퍼스,충주집,닭요리,정문,2,http://place.map.kakao.com/8094273
고려대학교 서울캠퍼스,미식본좌,한식,정문,1,http://place.map.kakao.com/938818825
고려대학교 서울캠퍼스,제기식당,한식,정문,1,http://place.map.kakao.com/545755679
고려대학교 서울캠퍼스,교촌치킨 안암점,교촌치킨,정문,2,http://place.map.kakao.com/10139496
고려대학교 서울캠퍼스,분홍꽃돼지,삼겹살,정문,2,http://place.map.kakao.com/405100139
고려대학교 서울캠퍼스,국시랑,국수,정문,1,http://place.map.kakao.com/2142885834
고려대학교 서울캠퍼스,평범식당,"찌개,전골",정문,1,http://place.map.kakao.com/322033066
고려대학교 서울캠퍼스,일미리금계찜닭 고려대점,일미리금계찜닭,정문,2,http://place.map.kakao.com/135173542
고려대학교 서울캠퍼스,튄닥vs꾼닥,치킨,정문,2,http://place.map.kakao.com/1579121620
고려대학교 서울캠퍼스,청룡분식,분식,정문,1,http://place.map.kakao.com/88720291
고려대학교 서울캠퍼스,고씨네 고려대점,일식,정문,1,http://place.map.kakao.com/27244460
고려대학교 서울캠퍼스,해마루,"돈까스,우동",정문,1,http://place.map.kakao.com/15349830
고려대학교 서울캠퍼스,어흥식당 안암1호점,"스테이크,립",정경대학 입구,1,http://place.map.kakao.com/1047320817
고려대학교 서울캠퍼스,밀플랜비 서울고려대점,"멕시칸,브라질",정경대학 입구,1,http://place.map.kakao.com/688315439
고려대학교 서울캠퍼스,KFC 고대안암점,KFC,자연계캠퍼스 입구,1,http://place.map.kakao.com/1907025237
